symbol,price,spread_median,spread_max,samples,atr14_h4_median,est_stop,drag_R,drag_R_tight_1ATR,verdict,note
AUDNZD.sim,1.24509,7.00000000000145e-05,9.999999999998899e-05,12,0.002201630023019863,0.00304925758188251,0.02295640762391704,0.0317946245591251,ATTACH,
NZDJPY.sim,90.167,0.007999999999995566,0.009000000000000341,12,0.24810114675622558,0.34362008825737245,0.023281525945024327,0.0322449134338587,ATTACH,
CADCHF.sim,0.58695,4.0000000000040004e-05,4.999999999999449e-05,12,0.0012319059309939167,0.0017061897144265746,0.02344405177327154,0.032470011705981086,ATTACH,
NZDCAD.sim,0.80206,7.00000000000145e-05,7.999999999996898e-05,12,0.0019782563360079847,0.002739885025371059,0.025548517310697915,0.03538469647531661,ATTACH,
GBPAUD.sim,1.8766,0.00012999999999996348,0.00015999999999971593,12,0.0036296563664462247,0.005027074067528021,0.025859973068566463,0.03581606269996455,ATTACH,
USDSEK.sim,9.8214,0.0011500000000008725,0.0014700000000011926,12,0.03047648195303482,0.042209927504953226,0.027244775529783202,0.037734014108749735,ATTACH,
AUDCHF.sim,0.58618,4.999999999999449e-05,6.0000000000060005e-05,12,0.0012538600226689334,0.0017365961313964729,0.02879195634265712,0.03987685953458011,ATTACH,
GBPCAD.sim,1.87415,0.00012500000000004174,0.000140000000000029,12,0.003074757858573355,0.0042585396341240965,0.029352785400517226,0.040653607779716355,ATTACH,
CHFJPY.sim,191.553,0.018000000000000682,0.020000000000010232,12,0.41640672656012234,0.5767233162857694,0.03121080679713942,0.0432269674140381,ATTACH,
NZDCHF.sim,0.47078,4.999999999999449e-05,6.0000000000004494e-05,12,0.0011514525171654438,0.0015947617362741396,0.031352645892301176,0.04342341456083713,ATTACH,
EURSEK.sim,11.28081,0.0011250000000000426,0.00134999999999863,12,0.024039659359276447,0.03329492821259788,0.03378893003813037,0.04679766810281056,ATTACH,
GBPCHF.sim,1.10006,0.00010499999999991072,0.00011999999999989797,12,0.002026696399241441,0.0028069745129493955,0.03740682343766036,0.051808450461159596,ATTACH,
EURNZD.sim,2.00408,0.0002449999999998287,0.00025000000000030553,12,0.004217414452602892,0.005841119016855005,0.041944017797422385,0.058092464649430006,ATTACH,
EURNOK.sim,10.8111,0.0016999999999995907,0.0017999999999993577,12,0.028806452304577915,0.03989693644184041,0.04260978790884755,0.059014556253753854,ATTACH,
USDNOK.sim,9.4124,0.001834999999999809,0.0019299999999997652,12,0.029539653682107855,0.04091242034971938,0.04485190522374937,0.06211988873489289,ATTACH,
GBPNZD.sim,2.33643,0.0003500000000000725,0.000360000000000138,12,0.005114343587397142,0.007083365868545041,0.0494115377485032,0.06843497978167694,ATTACH,
USDHUF.sim,315.473,0.09649999999999181,0.1150000000000091,12,1.4004823079354352,1.9396679964905776,0.049750782182614924,0.06890483332292166,ATTACH,
USDPLN.sim,3.78855,0.0006850000000000467,0.0009700000000001374,12,0.0091801753348223,0.012714542838728887,0.05387531495930122,0.0746173112186322,ATTACH,
EURHUF.sim,362.365,0.09900000000001796,0.1360000000000241,12,1.2679065779960683,1.7560506105245546,0.056376507263902496,0.07808146256050495,ATTACH,
USDCZK.sim,21.1967,0.003600000000002268,0.003700000000002035,12,0.043710074554051334,0.0605384532573611,0.05946633596167293,0.082360875306917,ATTACH,
EURPLN.sim,4.35162,0.0006500000000002615,0.0008400000000001739,12,0.006044589645214085,0.008371756658621507,0.0776420083031045,0.10753418149979974,ATTACH,
EURCZK.sim,24.3476,0.003700000000002035,0.003700000000002035,12,0.02360920817233709,0.032698753318686866,0.11315416107584561,0.15671851309004617,EXCLUDED,drag 0.113R > 0.10R
