id,time,exit,detector,dir,regime,class,r_off,r_on,swap_R,comm_R,nights,stop,price,lots_spec,suppressed,terminal
50,2019-05-07 20:00:00,2019-05-09 01:07:53,SweepMSS,BUY,TREND_UP,TAKE,2.000,1.860,-0.072,-0.037,2,100.67,5746.76,2.48,False,TP
51,2019-05-16 12:00:00,2019-05-16 20:59:17,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.028,-0.000,-0.018,0,293.24,8021.65,0.85,False,SL
52,2019-05-16 20:00:00,2019-05-17 02:56:19,DeepFib,BUY,TREND_UP,TAKE,-1.000,-1.062,-0.028,-0.021,1,239.79,7880.36,1.04,False,SL
53,2019-05-20 20:00:00,2019-05-22 22:05:47,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.047,-0.029,-0.011,2,465.80,8002.76,0.53,False,SL
54,2019-05-29 08:00:00,2019-05-30 16:17:10,TrendCont,BUY,TREND_UP,DISCRETION,0.500,0.424,-0.034,-0.027,1,211.36,8628.95,1.18,False,BE
55,2019-05-31 20:00:00,2019-06-03 23:23:25,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.032,-0.015,-0.011,1,502.41,8713.45,0.49,False,SL
57,2019-06-25 12:00:00,2019-06-26 18:34:34,SweepMSS,BUY,TREND_UP,TAKE,2.030,2.004,-0.012,-0.010,1,774.44,11352.80,0.32,False,TP
58,2019-06-28 08:00:00,2019-06-30 23:56:56,TrendCont,BUY,TREND_UP,DISCRETION,-1.010,-1.025,-0.007,-0.006,1,1408.79,12074.91,0.17,False,end
59,2019-07-02 12:00:00,2019-07-02 21:25:16,EMArevQ,BUY,TREND_UP,DISCRETION,0.150,0.140,-0.000,-0.007,0,1010.04,10603.50,0.24,False,BE
60,2019-07-17 04:00:00,2019-07-17 11:31:03,EMArevQ,BUY,TREND_UP,DISCRETION,-1.000,-1.025,-0.000,-0.016,0,379.22,9570.91,0.65,False,SL
61,2019-07-18 12:00:00,2019-07-28 22:29:19,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.059,-0.051,-0.006,7,1217.39,10464.00,0.2,False,SL
62,2019-08-07 00:00:00,2019-08-29 07:20:55,SweepMSS,SELL,TREND_UP,TAKE,2.000,1.898,-0.087,-0.010,16,728.22,11621.70,0.34,False,TP
63,2019-09-12 12:00:00,2019-09-19 03:02:03,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.171,-0.140,-0.022,5,311.18,10332.20,0.8,False,SL
64,2019-09-19 20:00:00,2019-09-23 14:24:21,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.062,-0.040,-0.015,2,433.51,10273.20,0.5700000000000001,False,SL
65,2019-09-30 08:00:00,2019-09-30 13:31:49,SweepMSS,SELL,CHOP,DISCRETION,-1.070,-1.144,-0.000,-0.047,0,111.88,8045.49,2.23,False,end
66,2019-10-03 20:00:00,2019-10-07 15:16:23,SweepMSS,SELL,TREND_DOWN,TAKE,0.500,0.419,-0.036,-0.028,2,188.17,8241.45,1.32,False,BE
67,2019-10-08 04:00:00,2019-10-15 16:12:30,SweepMSS,BUY,TREND_DOWN,TAKE,0.500,0.437,-0.045,-0.012,5,462.12,8218.65,0.54,False,BE
68,2019-10-17 16:00:00,2019-10-20 21:01:04,TrendCont,SELL,TREND_DOWN,DISCRETION,-0.630,-0.836,-0.091,-0.072,2,72.53,8060.85,3.44,False,end
69,2019-10-22 20:00:00,2019-10-25 15:47:30,TrendCont,SELL,TREND_DOWN,DISCRETION,0.500,0.443,-0.029,-0.017,3,299.58,8023.60,0.8300000000000001,False,BE
70,2019-11-10 20:00:00,2019-11-18 17:25:16,DeepFib,SELL,TREND_UP,TAKE,2.720,2.588,-0.077,-0.036,5,161.25,9035.35,1.55,False,TP
71,2019-11-25 16:00:00,2019-11-27 12:03:41,DeepFib,SELL,TREND_DOWN,TAKE,0.500,0.417,-0.042,-0.025,2,189.72,7209.64,1.31,False,BE
72,2019-12-02 00:00:00,2019-12-18 22:59:32,TrendCont,SELL,TREND_DOWN,DISCRETION,0.490,0.368,-0.103,-0.011,12,428.88,7365.45,0.58,False,BE
