signal_id,signal_time,symbol,strategy,direction,orig_entry,orig_sl,orig_tp,orig_tp1,orig_tp2,entry,sl,tp,tp1,tp2,partial_frac,lots,decision,skip_reason,edited,is_pending,decision_ms,posid,tp1_done,exit_time,exit_price,pnl,r_multiple,regime,with_trend,to_entry,to_sl,to_tp1,to_tp2,mfe_r,pre_dip_r,post_dip_r,dipped,terminal,decision_class,rt_tp1r,rt_tp2r,rt_touched1,rt_reached2,rt_redip1,rt_bankr,costed_r,cost_swap_r,cost_comm_r,cost_spread_r,cost_nights
20,2019.05.20 20:00:00,BTCUSD.dk,TrendCont,BUY,8002.76,7536.96,9865.95,8934.36,9865.95,8002.76,7536.96,9865.95,8934.36,9865.95,0.50,0.53,approved,0,0,0,0,49,0,2019.05.22 22:05:47,7536.69,-250.32,-1.00,TREND_UP,1,8002.76,7536.96,8934.36,9865.95,0.23,0.23,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.047,-0.029,-0.011,-0.007,2
21,2019.05.29 08:00:00,BTCUSD.dk,TrendCont,BUY,8628.95,8417.59,9474.41,9051.68,9474.41,8628.95,8417.59,9474.41,9051.68,9474.41,0.50,1.16,approved,0,0,0,0,51,1,2019.05.30 16:17:10,8627.25,112.89,0.49,TREND_UP,1,8628.95,8417.59,9051.68,9474.41,2.14,0.60,2.14,1,BE,DISCRETION,2.000,4.000,1,0,1,1.011,0.414,-0.034,-0.027,-0.015,1
22,2019.05.31 20:00:00,BTCUSD.dk,TrendCont,BUY,8713.45,8211.04,10723.11,9718.28,10723.11,8713.45,8211.04,10723.11,9718.28,10723.11,0.50,0.49,approved,0,0,0,0,54,0,2019.06.03 23:23:25,8210.45,-246.47,-1.00,TREND_UP,1,8713.45,8211.04,9718.28,10723.11,0.10,0.10,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.032,-0.015,-0.011,-0.006,1
23,2019.06.09 20:00:00,BTCUSD.dk,SweepMSS,BUY,7636.56,7558.15,7871.78,7793.37,7871.78,7636.56,7558.15,7871.78,7793.37,7871.78,0.00,0.00,rejected,0,0,0,0,0,1,1970.01.01 00:00:00,0.00,0.00,0.00,CHOP,,7636.56,7558.15,7793.37,7871.78,0.00,0.00,0.00,0,,DISCRETION,0.000,0.000,0,0,0,-99.000,,,,,
24,2019.06.25 12:00:00,BTCUSD.dk,SweepMSS,BUY,11352.80,10578.36,13676.12,12901.68,13676.12,11352.80,10578.36,13676.12,12901.68,13676.12,0.00,0.31,approved,0,0,0,0,56,1,2019.06.26 18:34:34,13676.20,485.07,2.03,TREND_UP,1,11352.80,10578.36,12901.68,13676.12,3.00,3.00,0.00,0,TP,TAKE,2.000,3.000,1,1,1,1.000,2.004,-0.012,-0.010,-0.004,1
25,2019.06.28 08:00:00,BTCUSD.dk,TrendCont,BUY,12074.91,10666.12,17710.07,14892.49,17710.07,12074.91,10666.12,17710.07,14892.49,17710.07,0.50,0.17,approved,0,0,0,0,59,0,2019.06.30 23:56:56,10658.90,-242.34,-1.01,TREND_UP,1,12074.91,10666.12,14892.49,17710.07,0.23,0.23,0.00,0,end,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.025,-0.007,-0.006,-0.002,1
26,2019.07.02 12:00:00,BTCUSD.dk,EMArevQ,BUY,10603.50,9593.46,11916.56,10900.65,11916.56,10603.50,9593.46,11916.56,10900.65,11916.56,0.50,0.24,approved,0,0,0,0,61,1,2019.07.02 21:25:16,10603.30,35.65,0.15,TREND_UP,1,10603.50,9593.46,10900.65,11916.56,0.31,0.31,0.00,1,BE,DISCRETION,0.294,1.300,1,0,1,0.294,0.140,-0.000,-0.007,-0.003,0
27,2019.07.17 04:00:00,BTCUSD.dk,EMArevQ,BUY,9570.91,9191.69,11389.01,10607.37,11389.01,9570.91,9191.69,11389.01,10607.37,11389.01,0.50,0.65,approved,0,0,0,0,64,0,2019.07.17 11:31:03,9191.40,-246.68,-1.00,TREND_UP,1,9570.91,9191.69,10607.37,11389.01,0.12,0.12,0.00,0,SL,DISCRETION,2.733,4.794,0,0,0,-99.000,-1.025,-0.000,-0.016,-0.008,0
28,2019.07.18 12:00:00,BTCUSD.dk,TrendCont,BUY,10464.00,9246.61,15333.56,12898.78,15333.56,10464.00,9246.61,15333.56,12898.78,15333.56,0.50,0.20,approved,0,0,0,0,66,0,2019.07.28 22:29:19,9245.34,-254.82,-1.00,TREND_UP,1,10464.00,9246.61,12898.78,15333.56,0.27,0.27,0.25,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.059,-0.051,-0.006,-0.003,7
29,2019.08.07 00:00:00,BTCUSD.dk,SweepMSS,SELL,11621.70,12349.92,9437.03,10165.25,9437.03,11621.70,12349.92,9437.03,10165.25,9437.03,0.00,0.33,approved,0,0,0,0,68,1,2019.08.29 07:20:55,9437.00,466.38,2.03,TREND_UP,0,11621.70,12349.92,10165.25,9437.03,3.00,3.00,0.00,0,TP,TAKE,2.000,3.000,1,1,1,1.000,1.928,-0.087,-0.010,-0.004,16
