signal_id,signal_time,symbol,strategy,direction,orig_entry,orig_sl,orig_tp,orig_tp1,orig_tp2,entry,sl,tp,tp1,tp2,partial_frac,lots,decision,skip_reason,edited,is_pending,decision_ms,posid,tp1_done,exit_time,exit_price,pnl,r_multiple,regime,with_trend,to_entry,to_sl,to_tp1,to_tp2,mfe_r,pre_dip_r,post_dip_r,dipped,terminal,decision_class,rt_tp1r,rt_tp2r,rt_touched1,rt_reached2,rt_redip1,rt_bankr,stop_pre_floor,stop_post_floor,floor_applied,costed_r,cost_swap_r,cost_comm_r,cost_spread_r,cost_nights
11,2023.02.22 08:00:00,BTCUSD.dk,DeepFib,BUY,24163.35,23638.14,25246.15,25246.15,26108.64,24163.35,23638.14,26108.64,25246.15,26108.64,0.50,0.47,approved,0,0,0,0,27,0,2023.02.22 16:53:41,23635.34,-248.16,-1.01,TREND_UP,1,24163.35,23638.14,25246.15,26108.64,0.13,0.13,0.00,0,SL,TAKE,2.062,3.704,0,0,0,-99.000,329.83,525.21,1,-1.046,-0.000,-0.030,-0.006,0
12,2023.02.23 08:00:00,BTCUSD.dk,SweepMSS,BUY,23783.66,23160.14,24231.94,23940.62,24231.94,23783.66,23160.14,24231.94,23940.62,24231.94,0.00,0.39,approved,0,0,0,0,29,1,2023.02.24 16:03:39,23158.84,-250.98,-1.00,TREND_UP,1,23783.66,23160.14,23940.62,24231.94,0.70,0.70,0.55,1,SL,TAKE,0.252,0.719,1,0,1,-99.000,78.48,623.52,1,-1.062,-0.032,-0.025,-0.005,1
13,2023.03.23 00:00:00,BTCUSD.dk,SweepMSS,SELL,27427.84,28963.84,22819.85,24355.85,22819.85,27427.84,28963.84,22819.85,24355.85,22819.85,0.00,0.15,approved,0,0,0,0,31,1,2023.03.25 00:04:31,27461.76,-10.01,-0.02,TREND_UP,0,27427.84,28963.84,24355.85,22819.85,0.07,0.07,0.00,0,end,TAKE,2.000,3.000,0,0,0,-99.000,1536.00,1536.00,0,-0.053,-0.020,-0.012,-0.002,2
14,2023.03.30 20:00:00,BTCUSD.dk,TrendCont,BUY,28031.01,27361.49,29547.65,28789.33,29547.65,28031.01,27361.49,29547.65,28789.33,29547.65,0.50,0.36,approved,0,0,0,0,33,0,2023.04.01 00:00:00,28472.40,150.88,0.66,TREND_UP,1,28031.01,27361.49,28789.33,29547.65,0.93,0.51,0.93,1,end,DISCRETION,1.133,2.265,0,0,0,-99.000,379.16,669.52,1,0.558,-0.070,-0.027,-0.005,2
15,2023.04.03 08:00:00,BTCUSD.dk,TrendCont,BUY,28261.45,27564.48,31049.32,29655.39,31049.32,28261.45,27564.48,31049.32,29655.39,31049.32,0.50,0.35,approved,0,0,0,0,35,0,2023.04.03 20:57:40,27563.15,-244.41,-1.00,TREND_UP,1,28261.45,27564.48,29655.39,31049.32,0.17,0.17,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,696.97,696.97,0,-1.031,-0.000,-0.026,-0.004,0
16,2023.04.05 16:00:00,BTCUSD.dk,TrendCont,BUY,28242.60,27639.14,30132.68,29187.64,30132.68,28242.60,27639.14,30132.68,29187.64,30132.68,0.50,0.40,approved,0,0,0,0,37,0,2023.04.08 00:00:18,27929.09,-151.73,-0.52,TREND_UP,1,28242.60,27639.14,29187.64,30132.68,0.10,0.10,0.00,0,end,DISCRETION,1.566,3.132,0,0,0,-99.000,472.52,603.46,1,-0.674,-0.118,-0.030,-0.005,3
17,2023.04.14 16:00:00,BTCUSD.dk,TrendCont,BUY,30344.95,29827.67,31842.54,31093.75,31842.54,30344.95,29827.67,31842.54,31093.75,31842.54,0.50,0.46,approved,0,0,0,0,39,0,2023.04.15 00:00:01,30492.44,56.88,0.29,TREND_UP,1,30344.95,29827.67,31093.75,31842.54,0.39,0.39,0.00,0,end,DISCRETION,1.448,2.895,0,0,0,-99.000,374.40,517.28,1,0.197,-0.049,-0.038,-0.006,1
18,2023.04.18 16:00:00,BTCUSD.dk,TrendCont,BUY,30232.51,29672.71,32471.72,31352.12,32471.72,30232.51,29672.71,32471.72,31352.12,32471.72,0.50,0.42,approved,0,0,0,0,41,0,2023.04.19 08:10:22,29644.90,-256.78,-1.05,TREND_UP,1,30232.51,29672.71,31352.12,32471.72,0.40,0.40,0.17,1,end,DISCRETION,2.000,4.000,0,0,0,-99.000,559.80,559.80,0,-1.136,-0.045,-0.035,-0.006,1
19,2023.04.25 16:00:00,BTCUSD.dk,TrendCont,BUY,27602.85,27104.70,29374.96,28488.91,29374.96,27602.85,27104.70,29374.96,28488.91,29374.96,0.50,0.47,approved,0,0,0,0,43,1,2023.04.26 12:21:54,29376.40,535.85,2.31,TREND_UP,1,27602.85,27104.70,28488.91,29374.96,3.56,3.56,0.00,0,TP,DISCRETION,1.779,3.557,1,1,1,1.008,443.03,498.15,1,2.244,-0.023,-0.036,-0.006,1
20,2023.04.26 20:00:00,BTCUSD.dk,TrendCont,BUY,28425.10,27185.68,33382.79,30903.95,33382.79,28425.10,27185.68,33382.79,30903.95,33382.79,0.50,0.19,approved,0,0,0,0,46,1,2023.04.29 00:00:01,29336.15,198.33,0.86,TREND_UP,1,28425.10,27185.68,30903.95,33382.79,1.18,1.18,0.00,0,end,DISCRETION,2.000,4.000,0,0,0,1.002,1239.42,1239.42,0,0.804,-0.039,-0.015,-0.002,3
21,2023.05.01 04:00:00,BTCUSD.dk,EMArevQ,BUY,28634.95,28186.21,29582.82,29096.82,29582.82,28634.95,28186.21,29582.82,29096.82,29582.82,0.50,0.54,approved,0,0,0,0,49,0,2023.05.01 15:24:08,28182.90,-244.11,-1.01,TREND_UP,1,28634.95,28186.21,29096.82,29582.82,0.07,0.07,0.00,0,SL,DISCRETION,1.029,2.112,0,0,0,-99.000,368.80,448.74,1,-1.058,-0.000,-0.041,-0.007,0
22,2023.05.02 16:00:00,BTCUSD.dk,TrendCont,BUY,28702.96,27873.64,32020.24,30361.60,32020.24,28702.96,27873.64,32020.24,30361.60,32020.24,0.50,0.29,approved,0,0,0,0,51,1,2023.05.06 00:00:01,29537.24,220.26,1.01,TREND_UP,1,28702.96,27873.64,30361.60,32020.24,1.19,0.81,1.19,1,end,DISCRETION,2.000,4.000,0,0,0,1.018,829.32,829.32,0,0.882,-0.102,-0.022,-0.004,4
23,2023.05.10 16:00:00,BTCUSD.dk,SweepMSS,BUY,27708.35,27129.43,28431.83,28190.67,28431.83,27708.35,27129.43,28431.83,28190.67,28431.83,0.00,0.42,approved,0,0,0,0,54,1,2023.05.11 14:04:08,27126.49,-253.45,-1.01,CHOP,,27708.35,27129.43,28190.67,28431.83,0.48,0.48,0.04,1,SL,DISCRETION,0.833,1.250,0,0,0,-99.000,241.16,578.92,1,-1.087,-0.040,-0.031,-0.005,1
24,2023.05.16 04:00:00,BTCUSD.dk,TrendCont,BUY,27258.91,26836.77,28947.47,28103.19,28947.47,27258.91,26836.77,28947.47,28103.19,28947.47,0.50,0.57,approved,0,0,0,0,56,0,2023.05.17 07:46:10,26829.90,-256.59,-1.02,TREND_UP,1,27258.91,26836.77,28103.19,28947.47,0.07,0.07,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,422.14,422.14,0,-1.124,-0.054,-0.042,-0.007,1
25,2023.05.18 16:00:00,BTCUSD.dk,SweepMSS,BUY,26736.81,26293.24,27217.94,27109.66,27217.94,26736.81,26293.24,27217.94,27109.66,27217.94,0.00,0.54,approved,0,0,0,0,58,1,2023.05.20 00:00:02,26890.65,60.38,0.35,TREND_UP,1,26736.81,26293.24,27109.66,27217.94,1.00,0.73,1.00,1,end,TAKE,0.841,1.085,1,0,1,-99.000,186.43,443.57,1,0.202,-0.101,-0.039,-0.007,2
26,2023.05.23 00:00:00,BTCUSD.dk,TrendCont,BUY,27375.91,26766.63,29813.03,28594.47,29813.03,27375.91,26766.63,29813.03,28594.47,29813.03,0.50,0.39,approved,0,0,0,0,60,0,2023.05.24 03:36:05,26765.84,-246.23,-1.00,TREND_UP,1,27375.91,26766.63,28594.47,29813.03,0.17,0.17,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,609.28,609.28,0,-1.072,-0.038,-0.029,-0.005,1
27,2023.05.26 12:00:00,BTCUSD.dk,TrendCont,BUY,26762.21,26307.49,28581.10,27671.65,28581.10,26762.21,26307.49,28581.10,27671.65,28581.10,0.50,0.52,approved,0,0,0,0,62,0,2023.05.27 00:00:01,26715.05,-35.39,-0.10,TREND_UP,1,26762.21,26307.49,27671.65,28581.10,0.18,0.18,0.00,0,end,DISCRETION,2.000,4.000,0,0,0,-99.000,454.72,454.72,0,-0.195,-0.050,-0.038,-0.007,1
28,2023.05.30 12:00:00,BTCUSD.dk,EMArevQ,SELL,27679.69,28132.76,27038.88,27502.19,27038.88,27679.69,28132.76,27038.88,27502.19,27038.88,0.50,0.52,approved,0,0,0,0,64,1,2023.05.31 05:53:08,27038.26,205.82,0.91,TREND_UP,0,27679.69,28132.76,27502.19,27038.88,1.42,0.25,1.42,1,TP,DISCRETION,0.392,1.414,1,1,0,0.403,403.94,453.07,1,0.830,-0.033,-0.040,-0.007,1
29,2023.06.02 08:00:00,BTCUSD.dk,TrendCont,BUY,27134.16,26482.05,29742.59,28438.37,29742.59,27134.16,26482.05,29742.59,28438.37,29742.59,0.50,0.36,approved,0,0,0,0,67,0,2023.06.03 00:00:00,27250.09,34.06,0.18,TREND_UP,1,27134.16,26482.05,28438.37,29742.59,0.26,0.26,0.00,0,end,DISCRETION,2.000,4.000,0,0,0,-99.000,652.11,652.11,0,0.113,-0.035,-0.027,-0.005,1
30,2023.06.07 08:00:00,BTCUSD.dk,TrendCont,BUY,26898.45,26263.32,29212.32,28055.39,29212.32,26898.45,26263.32,29212.32,28055.39,29212.32,0.50,0.37,approved,0,0,0,0,69,0,2023.06.07 15:02:03,26259.34,-236.47,-1.01,TREND_UP,1,26898.45,26263.32,28055.39,29212.32,0.03,0.03,0.00,0,SL,DISCRETION,1.822,3.643,0,0,0,-99.000,578.47,635.13,1,-1.042,-0.000,-0.028,-0.005,0
31,2023.06.14 00:00:00,BTCUSD.dk,TrendCont,BUY,25983.10,25588.15,27074.20,26528.65,27074.20,25983.10,25588.15,27074.20,26528.65,27074.20,0.50,0.60,approved,0,0,0,0,71,0,2023.06.14 20:05:23,25586.54,-237.94,-1.00,TREND_UP,1,25983.10,25588.15,26528.65,27074.20,0.26,0.26,0.07,1,SL,DISCRETION,1.381,2.763,0,0,0,-99.000,272.78,394.95,1,-1.051,-0.000,-0.043,-0.008,0
32,2023.06.19 00:00:00,BTCUSD.dk,TrendCont,BUY,26397.16,26099.83,27032.71,26714.94,27032.71,26397.16,26099.83,27032.71,26714.94,27032.71,0.50,0.79,approved,0,0,0,0,73,1,2023.06.19 18:15:11,27033.84,371.80,1.58,TREND_UP,1,26397.16,26099.83,26714.94,27032.71,2.14,0.26,2.14,1,TP,DISCRETION,1.069,2.138,1,1,1,1.010,158.89,297.33,1,1.512,-0.000,-0.058,-0.010,0
33,2023.06.25 20:00:00,BTCUSD.dk,TrendCont,BUY,30469.71,29988.42,31321.79,30895.75,31321.79,30469.71,29988.42,31321.79,30895.75,31321.79,0.50,0.49,approved,0,0,0,0,76,0,2023.06.26 17:16:34,29985.65,-237.19,-1.01,TREND_UP,1,30469.71,29988.42,30895.75,31321.79,0.39,0.39,0.18,1,SL,DISCRETION,0.885,1.770,0,0,0,-99.000,213.02,481.29,1,-1.058,-0.000,-0.041,-0.006,0
34,2023.06.27 12:00:00,BTCUSD.dk,SweepMSS,BUY,30501.41,30016.60,31408.58,31106.19,31408.58,30501.41,30016.60,31408.58,31106.19,31408.58,0.00,0.48,approved,0,0,0,0,78,1,2023.06.28 19:30:13,30013.80,-245.57,-1.01,TREND_UP,1,30501.41,30016.60,31106.19,31408.58,0.56,0.56,0.35,1,SL,TAKE,1.247,1.871,0,0,0,-99.000,302.39,484.81,1,-1.110,-0.053,-0.041,-0.006,1
35,2023.06.30 00:00:00,BTCUSD.dk,TrendCont,BUY,30738.56,30215.41,32831.16,31784.86,32831.16,30738.56,30215.41,32831.16,31784.86,32831.16,0.50,0.44,approved,0,0,0,0,80,1,2023.06.30 05:51:38,30735.74,115.00,0.50,TREND_UP,1,30738.56,30215.41,31784.86,32831.16,1.03,1.03,0.00,1,BE,DISCRETION,2.000,4.000,0,0,0,1.005,523.15,523.15,0,0.456,-0.000,-0.038,-0.006,0
36,2023.07.02 20:00:00,BTCUSD.dk,TrendCont,BUY,30619.56,30169.18,32421.08,31520.32,32421.08,30619.56,30169.18,32421.08,31520.32,32421.08,0.50,0.52,approved,0,0,0,0,83,1,2023.07.05 10:16:14,30619.24,104.61,0.50,TREND_UP,1,30619.56,30169.18,31520.32,32421.08,1.70,0.40,1.70,1,BE,DISCRETION,2.000,4.000,0,0,0,1.002,450.38,450.38,0,0.392,-0.057,-0.044,-0.007,2
37,2023.07.11 00:00:00,BTCUSD.dk,TrendCont,BUY,30475.66,30121.49,31647.43,31061.54,31647.43,30475.66,30121.49,31647.43,31061.54,31647.43,0.50,0.66,approved,0,0,0,0,86,1,2023.07.12 16:06:36,30475.59,102.35,0.51,TREND_UP,1,30475.66,30121.49,31061.54,31647.43,1.40,0.51,1.40,1,BE,DISCRETION,1.654,3.308,0,0,0,1.011,292.94,354.17,1,0.373,-0.072,-0.056,-0.009,1
38,2023.07.13 08:00:00,BTCUSD.dk,TrendCont,BUY,30548.56,30202.62,31788.95,31168.76,31788.95,30548.56,30202.62,31788.95,31168.76,31788.95,0.50,0.68,approved,0,0,0,0,89,1,2023.07.13 19:31:58,31795.80,541.76,2.30,TREND_UP,1,30548.56,30202.62,31168.76,31788.95,3.61,0.43,3.61,1,TP,DISCRETION,1.793,3.586,1,1,1,1.001,310.10,345.94,1,2.234,-0.000,-0.057,-0.009,0
39,2023.07.20 04:00:00,BTCUSD.dk,TrendCont,BUY,30208.76,29813.60,31789.39,30999.07,31789.39,30208.76,29813.60,31789.39,30999.07,31789.39,0.50,0.61,approved,0,0,0,0,92,0,2023.07.20 14:44:42,29809.99,-243.25,-1.01,TREND_UP,1,30208.76,29813.60,30999.07,31789.39,0.53,0.53,0.18,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,395.16,395.16,0,-1.068,-0.000,-0.050,-0.008,0
